模型,项目,粒度,horizon,MAE,R2,sMAPE,MAPE_旧项目口径%,特征Top3,一句话结论
XGBoost,新项目,小时,24h 直接多输出,0.419,0.3377,0.4488,,hour / roll_mean_168h / dow（代表性单配置重训，非全块平均）,小数据+强周期场景最优；显式周期特征+滞后/滚动可解释
ma7_same_hour,新项目,小时,24h 无状态,0.4341,0.2701,0.4617,,无（同刻 7 天均值）,无状态强基线，仅落后 XGBoost 0.015——简单模型在本数据极具竞争力
PatchTST 16/8 lr5e-4,新项目,小时,24h 直接多输出,0.4894,0.1451,0.5454,,无人工特征（168h 序列 patch 输入）,论文配置如实对齐；小数据未发挥 Transformer 优势，落败归因入 README
DLinear,新项目,小时,24h 直接多输出,0.5011,0.1242,0.5538,,无人工特征（趋势/季节线性分解）,与论文表 3（ETTh1/h2/m1 DLinear 多次胜 PatchTST）同型现象
seasonal_naive,新项目,小时,24h 无状态,0.5105,-0.1558,0.4923,,无,昨日同时刻；R² 为负说明 test 段漂移已超出日周期可复制范围
persistence,新项目,小时,24h 无状态,0.6797,-0.7295,0.6551,,无,最弱参照，锚定模型增益下限
XGBoost,新项目·粒度桥接,日,24h 聚日均 (n=191),0.1504,0.5268,,,同 hour 级行（代表性单配置重训，非全块平均）,同批 191 天下最优；优于旧项目日级模型
DLinear,新项目·粒度桥接,日,24h 聚日均 (n=191),0.1712,0.4255,,,—,日粒度排序翻转：反超 PatchTST（常数外推特性+聚合平滑）
PatchTST 16/8,新项目·粒度桥接,日,24h 聚日均 (n=191),0.1866,0.3442,,,—,与旧项目日级 XGBoost 几乎完全打平（0.1866 vs 0.1877）
XGBoost,旧项目,日,次日 (1d),0.1877,0.3347,,21.15,rolling_7d_mean(重要性第一)/lag_1d/lag_7d,基线锚点；MAPE 与 sMAPE 口径不同，禁止混排
朴素基线(7日均),旧项目,日,次日 (1d),0.1798,,,,无,XGBoost 落后朴素基线约 0.008kW：日粒度下特征增益未覆盖复杂度成本，系本项目小时级改造的核心动机
